Country name,Regional indicator,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Uzbekistan,Commonwealth of Independent States,0.049,0.255,0.16,0.341,-0.205
Kazakhstan,Commonwealth of Independent States,0.082,0.201,0.043,-0.04,0.014
Moldova,Commonwealth of Independent States,-0.014,0.699,0.012,-0.05,0.199
Kyrgyzstan,Commonwealth of Independent States,0.024,-0.6,0.125,0.149,0.189
Belarus,Commonwealth of Independent States,0.041,1.254,-0.161,-0.15,-0.093
Russia,Commonwealth of Independent States,0.034,-0.297,-0.093,-0.082,0.125
Tajikistan,Commonwealth of Independent States,-0.011,-0.719,0.022,-0.027,-0.167
Armenia,Commonwealth of Independent States,-0.071,2.056,0.015,-0.139,-0.091
Azerbaijan,Commonwealth of Independent States,-0.035,0.657,0.004,-0.194,-0.214
Turkmenistan,Commonwealth of Independent States,0.113,-2.592,0.067,0.304,0.169
Georgia,Commonwealth of Independent States,-0.199,-0.701,-0.028,-0.208,-0.065
Ukraine,Commonwealth of Independent States,0.019,-0.098,-0.087,0.019,0.205

