Country name,Regional indicator,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Mauritius,Sub-Saharan Africa,0.216,10.821,0.148,-0.065,0.03
Congo (Brazzaville),Sub-Saharan Africa,-0.054,2.341,-0.026,-0.078,-0.016
Ivory Coast,Sub-Saharan Africa,-0.046,-5.767,0.022,-0.027,0.035
Cameroon,Sub-Saharan Africa,0.021,-2.366,0.012,0.017,0.088
Senegal,Sub-Saharan Africa,0.021,3.922,-0.026,-0.057,0.042
Ghana,Sub-Saharan Africa,0.038,1.706,0.088,0.114,0.088
Niger,Sub-Saharan Africa,-0.049,-2.101,0.087,0.008,-0.068
Gambia,Sub-Saharan Africa,0.0,-0.721,-0.024,0.414,-0.015
Benin,Sub-Saharan Africa,-0.201,-1.168,0.038,-0.045,-0.099
Guinea,Sub-Saharan Africa,-0.051,-0.872,-0.024,0.086,0.007
South Africa,Sub-Saharan Africa,0.171,1.025,0.03,-0.077,0.1
Gabon,Sub-Saharan Africa,0.087,4.083,0.012,-0.211,0.08
Burkina Faso,Sub-Saharan Africa,-0.018,-1.729,-0.026,-0.019,-0.013
Mozambique,Sub-Saharan Africa,0.055,-1.174,0.163,0.051,-0.076
Nigeria,Sub-Saharan Africa,0.051,-5.779,0.018,0.027,0.118
Mali,Sub-Saharan Africa,0.035,-3.912,-0.024,-0.046,0.067
Uganda,Sub-Saharan Africa,0.092,0.221,-0.012,0.113,0.095
Liberia,Sub-Saharan Africa,0.031,0.618,0.016,0.041,0.09
Kenya,Sub-Saharan Africa,-0.003,4.824,0.06,0.277,0.065
Namibia,Sub-Saharan Africa,0.129,0.919,-0.002,-0.16,0.087
Chad,Sub-Saharan Africa,-0.071,-7.403,-0.142,0.031,0.048
Swaziland,Sub-Saharan Africa,0.081,-5.048,-0.073,-0.196,-0.053
Comoros,Sub-Saharan Africa,-0.064,1.469,-0.172,0.073,0.022
Ethiopia,Sub-Saharan Africa,0.075,3.12,0.033,0.073,0.002
Mauritania,Sub-Saharan Africa,0.106,1.281,-0.159,-0.116,-0.03
Madagascar,Sub-Saharan Africa,-0.004,3.425,-0.168,-0.015,0.044
Togo,Sub-Saharan Africa,-0.121,-0.967,-0.101,0.022,0.013
Zambia,Sub-Saharan Africa,0.019,-0.072,0.063,0.051,0.063
Sierra Leone,Sub-Saharan Africa,-0.06,-4.229,-0.004,0.075,0.106
Burundi,Sub-Saharan Africa,-0.2,-2.481,-0.094,-0.035,-0.154
Tanzania,Sub-Saharan Africa,0.013,2.119,0.113,0.173,-0.184
Malawi,Sub-Saharan Africa,-0.153,2.068,0.061,0.028,-0.032
Lesotho,Sub-Saharan Africa,0.098,-7.18,-0.006,-0.142,0.156
Botswana,Sub-Saharan Africa,0.095,3.389,0.104,-0.257,0.042
Rwanda,Sub-Saharan Africa,-0.138,5.52,0.178,0.051,-0.593
Zimbabwe,Sub-Saharan Africa,0.061,0.321,-0.043,-0.058,0.061

