Country name,Regional indicator,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Finland,Western Europe,0.044,-1.031,0.099,-0.099,-0.335
Denmark,Western Europe,0.044,-0.33,0.096,0.03,-0.342
Switzerland,Western Europe,0.032,1.371,0.07,0.026,-0.229
Iceland,Western Europe,0.073,-0.031,0.105,0.161,0.154
Netherlands,Western Europe,0.032,-0.63,0.064,0.175,-0.182
Norway,Western Europe,0.044,0.27,0.11,0.093,-0.25
Sweden,Western Europe,0.025,-0.33,0.095,0.086,-0.284
Luxembourg,Western Europe,-0.003,-0.431,0.058,-0.035,-0.135
Austria,Western Europe,0.025,0.27,0.059,0.043,-0.04
Germany,Western Europe,-0.008,-0.531,0.026,0.011,-0.06
Ireland,Western Europe,0.037,-0.63,0.03,0.077,-0.158
United Kingdom,Western Europe,0.025,-0.531,0.01,0.234,-0.061
Belgium,Western Europe,-0.005,-0.832,-0.067,-0.153,0.127
France,Western Europe,0.032,0.97,-0.029,-0.147,0.051
Malta,Western Europe,0.022,-0.83,0.078,0.134,0.134
Spain,Western Europe,0.023,1.671,-0.089,-0.082,0.225
Italy,Western Europe,-0.031,0.77,-0.158,-0.085,0.346
Cyprus,Western Europe,-0.108,0.868,-0.087,-0.015,0.324
Portugal,Western Europe,-0.032,-0.431,0.043,-0.244,0.367
Greece,Western Europe,-0.088,-0.431,-0.269,-0.288,0.303
North Cyprus,Western Europe,-0.091,0.868,-0.055,0.013,0.106

